"행정구역별(읍면동)",2017,2018,2019,2020,2021,2022
"전국",51422507,51629512,51779203,51829136,51738071,51692272
"읍부",4794377,4984023,5057507,5113052,5183834,5098892
"면부",4835090,4730290,4698591,4650781,4534456,4506486
"동부",41793040,41915199,42023105,42065303,42019781,42086894
"서울특별시",9741871,9673936,9639541,9586195,9472127,9417469
"부산광역시",3416918,3395278,3372692,3349016,3324335,3295760
"대구광역시",2453041,2444412,2429940,2410700,2387911,2366852
"인천광역시",2925967,2936117,2952237,2945454,2957044,2989125
"광주광역시",1496172,1490092,1489730,1477573,1475262,1468972
"대전광역시",1525849,1511214,1498839,1488435,1479740,1473662
"울산광역시",1157077,1150116,1143692,1135423,1120753,1110516
"세종특별자치시",276589,312374,338136,353933,366227,382589
"경기도",12851601,13103188,13300900,13511676,13652529,13717827
"강원도",1521386,1520391,1520127,1521763,1521890,1528037
"충청북도",1611009,1620935,1629343,1632088,1624764,1624993
"충청남도",2162426,2181416,2188649,2176636,2175960,2193214
"전라북도",1826174,1818157,1807423,1802766,1787053,1774248
"전라남도",1792319,1790352,1787543,1788807,1778124,1771431
"경상북도",2677058,2672902,2668154,2644757,2635314,2620373
"경상남도",3345293,3350350,3347209,3333056,3305931,3280829
"제주특별자치도",641757,658282,665048,670858,673107,676375
